dataset_number,proposed_filename,section,source_relative_path,source_extension,technique,content_label
20,VZ2_062_021_UK_D_0020_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
21,VZ2_062_021_UK_D_0021_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
22,VZ2_062_021_UK_D_0022_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
23,VZ2_062_021_UK_D_0023_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
24,VZ2_062_021_UK_D_0024_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
25,VZ2_062_021_UK_D_0025_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
26,VZ2_062_021_UK_D_0026_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
27,VZ2_062_021_UK_D_0027_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
28,VZ2_062_021_UK_D_0028_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
29,VZ2_062_021_UK_D_0029_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
30,VZ2_062_021_UK_D_0030_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
31,VZ2_062_021_UK_D_0031_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
32,VZ2_062_021_UK_D_0032_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
33,VZ2_062_021_UK_D_0033_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
34,VZ2_062_021_UK_D_0034_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_02_Loopeis 1,46V_30s_2_PEIS from 65kHz to 10kHz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65kHz and 10kHz."
35,VZ2_062_021_UK_D_0035_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
36,VZ2_062_021_UK_D_0036_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
37,VZ2_062_021_UK_D_0037_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
38,VZ2_062_021_UK_D_0038_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
39,VZ2_062_021_UK_D_0039_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
40,VZ2_062_021_UK_D_0040_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
41,VZ2_062_021_UK_D_0041_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
42,VZ2_062_021_UK_D_0042_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
43,VZ2_062_021_UK_D_0043_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
44,VZ2_062_021_UK_D_0044_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
45,VZ2_062_021_UK_D_0045_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
46,VZ2_062_021_UK_D_0046_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
47,VZ2_062_021_UK_D_0047_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
48,VZ2_062_021_UK_D_0048_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
49,VZ2_062_021_UK_D_0049_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
50,VZ2_062_021_UK_D_0050_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
51,VZ2_062_021_UK_D_0051_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
52,VZ2_062_021_UK_D_0052_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
53,VZ2_062_021_UK_D_0053_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
54,VZ2_062_021_UK_D_0054_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_03_Loopeis 1,46V_30s_3_PEIS from 6500Hz to 1000Hz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 6500Hz and 1000Hz."
55,VZ2_062_021_UK_D_0055_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
56,VZ2_062_021_UK_D_0056_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
57,VZ2_062_021_UK_D_0057_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
58,VZ2_062_021_UK_D_0058_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_04_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
59,VZ2_062_021_UK_D_0059_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_05_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
60,VZ2_062_021_UK_D_0060_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_06_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
61,VZ2_062_021_UK_D_0061_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_07_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
62,VZ2_062_021_UK_D_0062_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_08_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
63,VZ2_062_021_UK_D_0063_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_09_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
64,VZ2_062_021_UK_D_0064_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_10_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
65,VZ2_062_021_UK_D_0065_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_11_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
66,VZ2_062_021_UK_D_0066_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_12_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
67,VZ2_062_021_UK_D_0067_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_13_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
68,VZ2_062_021_UK_D_0068_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_14_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
69,VZ2_062_021_UK_D_0069_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_15_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
70,VZ2_062_021_UK_D_0070_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_16_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
71,VZ2_062_021_UK_D_0071_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_17_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
72,VZ2_062_021_UK_D_0072_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_18_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
73,VZ2_062_021_UK_D_0073_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_19_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
74,VZ2_062_021_UK_D_0074_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_04_Loopeis 1,46V_30s_4_PEIS from 650Hz to 100Hz_20_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 650Hz and 100Hz."
75,VZ2_062_021_UK_D_0075_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_05_Loopeis 1,46V_30s_5_PEIS from 65Hz to 10Hz_01_CA_C01.mpt",.mpt,CA,"Electrochemical data from technique CA in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65Hz and 10Hz."
76,VZ2_062_021_UK_D_0076_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_05_Loopeis 1,46V_30s_5_PEIS from 65Hz to 10Hz_02_OCV_C01.mpt",.mpt,OCV,"Electrochemical data from technique OCV in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65Hz and 10Hz."
77,VZ2_062_021_UK_D_0077_v2.mpt,closed_cell_time_gaps,"1,46 V different time gaps closed cell\L_05_Loopeis 1,46V_30s_5_PEIS from 65Hz to 10Hz_03_PEIS_C01.mpt",.mpt,PEIS,"Electrochemical data from technique PEIS in TR-PEIS procedure for PEM-WE in closed cathode configuration with OCV time gap 30 s, with PEIS frequency in between 65Hz and 10Hz."
