Series,Point,Tau / s,Gamma / Ohm
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,31,8.445711137028411e-05,0.005701829333946917
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,32,0.00010658617975423113,0.005690900173854483
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,33,0.00013451348058879375,0.005247516078839989
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,34,0.0001697581901680678,0.0044406008450052666
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,35,0.00021423747239168733,0.0034016437708682718
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,36,0.0002703711506910622,0.0022900956978575563
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,37,0.0003412125806789845,0.001270910477554302
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,38,0.00043061579344794154,0.0005026016512462165
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,39,0.0005434437771327794,0.00012919847728758228
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,40,0.0006858348497189581,0.0002465334091555724
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,41,0.0008655346464365721,0.0009514940941648903
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,42,0.0010923180961981416,0.002283677109035327
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,43,0.001378522370941937,0.004251597455570092
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,44,0.0017397166229784489,0.0068890579339081544
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,45,0.002195551758632064,0.010303135968696565
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,46,0.002770820166915655,0.014639989182110137
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,47,0.0034968180116266012,0.019730334711086026
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,48,0.004413038492202759,0.02419771177987999
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,49,0.005569329019635916,0.025465567072183178
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,50,0.0070285797119140625,0.02262780485781761
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,51,0.008870176039636135,0.01779214538697222
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,52,0.011194312013685703,0.013144797876865967
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,53,0.014127395115792751,0.009387749223716935
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,54,0.017828991636633873,0.006461142638373555
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,55,0.02250046283006668,0.0042002937266973055
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,56,0.028395963832736015,0.0024958689764333904
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,57,0.03583614528179169,0.001286185256350384
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,58,0.04522576928138733,0.0005229452230241757
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,59,0.0570756234228611,0.00013481476053871748
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,60,0.07203039526939392,1.6731340940690966e-05
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,61,0.09090347588062286,1.0794712221714649e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,62,0.11472159624099731,1.6515984824244967e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,63,0.14478042721748352,5.425726287511118e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,64,0.18271534144878387,8.711728643321615e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,65,0.2305895835161209,8.821161146832138e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,66,0.2910076379776001,3.0534760575024065e-06
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,67,0.3672565519809723,1.8211599395121944e-07
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,68,0.46348345279693604,1.5373596131909159e-09
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,69,0.584923267364502,1.7803699838728714e-12
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,70,0.7381822466850281,2.816259869758509e-16
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,71,0.931598424911499,6.0810638042512e-21
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,72,1.1756916046142578,1.7924357842213442e-26
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,73,1.483741044998169,7.211663818473678e-33
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,74,1.8725041151046753,3.960615949935098e-40
PEIS_at_N2_flow_50_sccm_automated_01_PEIS.mpr [Cell] - cycle 11,75,2.3631324768066406,2.96576329707774e-48
